DIMENSION_MACRO,IES ANONIMIZADA,SUBDIMENSIÓN,VARIABLE,INDICADOR,RESULTADO
Participación,UNIVERSIDAD 1,PARTICIPACIÓN CONSULTIVA,GESTIÓN DE LA PARTICIPACIÓN CONSULTIVA DIGITAL Y USO DE RESULTADOS,GRADO DE PUBLICACIÓN Y DIFUSIÓN DE LOS APORTES RECIBIDOS Y RESPUESTAS INSTITUCIONALES (CONSULTAS CUYOS RESULTADOS SE PUBLICAN / CONSULTAS TOTALES).,91.67
Participación,UNIVERSIDAD 1,PARTICIPACIÓN CONSULTIVA,GESTIÓN DE LA PARTICIPACIÓN CONSULTIVA DIGITAL Y USO DE RESULTADOS,USO DE HERRAMIENTAS ELECTRÓNICAS PARA RECOGER APORTES O ENCUESTAS.,75.0
Participación,UNIVERSIDAD 1,PARTICIPACIÓN CONSULTIVA,INCLUSIÓN Y DIVERSIDAD EN LAS CONSULTAS,"EXISTE REPRESENTATIVIDAD DE GRUPOS INTERNOS Y EXTERNOS EN LAS CONSULTAS (% DE PARTICIPACIÓN DE ESTUDIANTES, DOCENTES, SOCIEDAD).",75.0
Participación,UNIVERSIDAD 1,PARTICIPACIÓN DECISORIA,CO-CREACIÓN DE POLÍTICAS O PROYECTOS,EXISTEN INICIATIVAS O POLÍTICAS DISEÑADAS DE MANERA COLABORATIVA (CONEO_ANUAL / CONTEO_ACUMULADO)*100.,75.0
Participación,UNIVERSIDAD 1,PARTICIPACIÓN DECISORIA,ESPACIOS DE CO-DECISIÓN,EXISTENCIA DE ÓRGANOS COLEGIADOS CON REPRESENTACIÓN DE LA COMUNIDAD UNIVERSITARIA O EXTERNA.,41.67
Participación,UNIVERSIDAD 1,PARTICIPACIÓN DECISORIA,EVALUACIÓN PARTICIPATIVA,"EXISTENCIA DE PROCESOS DE MONITOREO Y EVALUACIÓN CON PARTICIPACIÓN, ESTUDIANTES, CIUDADANA O ACADÉMICA.",75.0
Participación,UNIVERSIDAD 1,PARTICIPACIÓN DECISORIA,VINCULACIÓN SOCIAL Y TERRITORIAL PARTICIPATIVA,"PARTICIPACIÓN CONJUNTA CON ACTORES EXTERNOS (ONG, MUNICIPIOS, COMUNIDADES). NÚMERO DE PROYECTOS GESTIONADOS O CONVENIOS PARTICIPATIVOS",66.67
Participación,UNIVERSIDAD 1,PARTICIPACIÓN INFORMATIVA,ACCESO A LA INFORMACIÓN PARTICIPATIVA,SE PUBLICA INFORMACIÓN SOBRE PROCESOS Y DECISIONES,62.5
Participación,UNIVERSIDAD 1,PARTICIPACIÓN INFORMATIVA,COMUNICACIÓN BIDIRECCIONAL POTENCIAL,EXISTENCIA DE CANALES PARA RECIBIR COMENTARIOS O CONSULTAS (AUNQUE NO SE USEN).,100.0
Participación,UNIVERSIDAD 1,PARTICIPACIÓN INFORMATIVA,DIFUSIÓN DE DECISIONES INSTITUCIONALES,"SE PUBLICACIÓN DE RESOLUCIONES Y ACUERDOS INSTITUCIONALES DE MANERA FRECUENTE (MENSUAL, TRIMESTRAL, SEMESTRAL, ANUAL)",50.0
